Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Respondent_Group,Question,Response
114381000000.0,426890467.0,8/2/2023 8:33,8/2/2023 8:37,198.108.155.98,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,0
114379000000.0,426890467.0,7/31/2023 11:25,7/31/2023 11:31,207.74.181.58,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,0
114378000000.0,426890467.0,7/28/2023 15:32,7/28/2023 15:36,198.109.180.114,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,0
114376000000.0,426890467.0,7/26/2023 9:11,7/26/2023 9:26,207.73.66.34,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,"Misty consistently establishes clear and achievable objectives for our team, which has been instrumental in keeping us aligned and focused on our collective purpose. Her ability to set realistic goals has undoubtedly contributed to the overall success and productivity of our department.    Misty deserves recognition for her approachability and willingness to make herself available for questions and guidance. Whenever I seek clarification or advice, she is quick to respond and provides valuable insight. This open line of communication fosters a positive and collaborative atmosphere with my and my team.     While Misty's goal-setting and communication skills are highly effective, there is room for growth in the area of delegation and trust. Often, she assumes a significant portion of the workload, which could potentially hinder the team's overall efficiency. Encouraging delegation of tasks to team members would allow others to contribute their skills and expertise, leading to a more well-rounded and capable team.     Additionally, it would be beneficial for Misty to trust in the abilities of her colleagues a little more.' By fostering trust within the team, she can empower team members to take ownership of their responsibilities, promoting a culture of accountability and professional growth. Trusting others to handle tasks can also provide her with more time to focus on strategic decisions and higher-level responsibilities.    "
114374000000.0,426890467.0,7/24/2023 13:57,7/24/2023 14:14,198.109.180.114,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,0
114373000000.0,426890467.0,7/21/2023 15:47,7/21/2023 15:51,198.109.195.34,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,0
114370000000.0,426890467.0,7/18/2023 8:12,7/18/2023 8:16,198.109.195.34,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,0
114368000000.0,426890467.0,7/14/2023 14:44,7/14/2023 14:48,63.143.30.40,,,,,Leaders Toward Deputy Director,Do you have any additional feedback?,"I value Misty's leadership. She is highly organized, detail oriented, and responds to requests in a very timely manner. "
118385000000.0,451986914.0,8/2/2023 8:26,8/2/2023 8:33,198.108.155.98,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,0
118383000000.0,451986914.0,7/31/2023 11:17,7/31/2023 11:24,207.74.181.58,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,0
118381000000.0,451986914.0,7/28/2023 15:36,7/28/2023 15:40,198.109.180.114,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,0
118380000000.0,451986914.0,7/27/2023 10:03,7/27/2023 10:10,198.109.180.114,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,0
118377000000.0,451986914.0,7/24/2023 13:18,7/24/2023 13:57,198.109.180.114,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,Priorities seem not to be set well
118375000000.0,451986914.0,7/21/2023 15:51,7/21/2023 15:53,198.109.195.34,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,0
118372000000.0,451986914.0,7/18/2023 8:04,7/18/2023 8:12,198.109.195.34,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,0
118369000000.0,451986914.0,7/14/2023 15:18,7/14/2023 15:50,207.73.66.34,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,"I believe Shamar to do a satisfactory job, and deserve some major credit for the type of events/changes that he has had to lead MWSE through in the past several years. One of Shamars notable strengths is his ability to be understanding and compassionate towards the team members. This creates a positive and supportive work environment, fostering collaboration and motivation among the team. Additionally, his driven nature is evident in his commitment to pushing the organization towards success. He has been tasked with making several difficult decisions over the past few years, and in my opinion, has stepped up and made them, knowing that those decisions were going to make a large impact both to the organization and to the leadership team. He is committed to making the choice he believes is right- whether it's a favorable opinion or not- and that itself is a SKILL. Shamar demonstrates a good understanding of the organization's objectives and works diligently to motivate us all to work towards achieving them. While I may not always agree with Shamar's decisions, I have absolute respect for him as an ED. Any executive Director role has to be extremely stressful, and at times, near impossible. Shamar continuously brings energy and positive encouragement to both the leadership team and the staff. I would like to see Shamar be a bit more transparent in communication, as I do feel at times the leadership team is left in the dark on certain decisions/ problems/issues that we may be facing. However,  I do understand that sometimes that may be a conscious choice- or it may be necessity. I am happy to follow Shamar's lead. "
118369000000.0,451986914.0,7/14/2023 14:37,7/14/2023 14:44,63.143.30.40,,,,,Leaders Toward Executive Director,Do you have any additional feedback?,"I value and respect Shamar's leadership. He involves the leadership team in guiding, decision-making, and moving our organization into the future. "
118389000000.0,451986852.0,8/7/2023 13:26,8/7/2023 14:02,207.73.66.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118387000000.0,451986852.0,8/4/2023 10:16,8/4/2023 11:27,75.213.137.68,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"As Director of MWSE, Shamar has lead our organization in a positive direction and I believe his vision for MWSE will continue to help us achieve successful goals in the community."
118387000000.0,451986852.0,8/4/2023 9:43,8/4/2023 9:50,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118387000000.0,451986852.0,8/4/2023 9:10,8/4/2023 9:24,68.48.170.252,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"I have not had many one on one dealings with Shamar but what i have, he has always shown strong leadership and i feel confident in his ability to lead MWSE in the right direction."
118385000000.0,451986852.0,8/2/2023 8:30,8/2/2023 8:41,207.73.66.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,My memory of Shamar has always been the day he visited the Lenawee office and sat in the resource room and had conversations with customers. This was the case a few times he visited the office. A man of so many responsibilities and position and he does not sit behind a closed door rather he decides to sit in the resource room and talk with customers.  That speaks volumes of a leader in my opinion. 
118385000000.0,451986852.0,8/2/2023 8:15,8/2/2023 8:41,198.109.195.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118384000000.0,451986852.0,7/31/2023 14:50,7/31/2023 15:07,198.109.180.114,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118381000000.0,451986852.0,7/28/2023 16:22,7/28/2023 16:33,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"I appreciate the Executive Directors' eye to eye contact and what feels like to me, expressed concern about how I am doing, when communicating with me. With such a high stressed working environment, at times, it helps to be acknowledged about my well-being. "
118381000000.0,451986852.0,7/28/2023 16:05,7/28/2023 16:14,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"I don't interact with the Executive Director that much on a daily basis, so I can't provide the type of feedback required.  This seems geared more toward personal relationships, something I have more with my service center manager.  "
118381000000.0,451986852.0,7/28/2023 16:03,7/28/2023 16:06,207.73.66.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118381000000.0,451986852.0,7/28/2023 8:41,7/28/2023 8:45,198.109.180.114,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118380000000.0,451986852.0,7/27/2023 10:52,7/27/2023 10:55,207.74.181.58,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"I believe that Shamar is a good leader but it is very clear that he has not done our job as a customer facing person.  He is very removed from what the ACTUAL work is that we do, he is only familiar with the administrative side."
118380000000.0,451986852.0,7/27/2023 9:51,7/27/2023 9:53,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118380000000.0,451986852.0,7/27/2023 8:31,7/27/2023 8:36,207.73.66.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118379000000.0,451986852.0,7/26/2023 13:19,7/26/2023 13:31,198.109.180.114,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"overall, very satisfied. he is a great ""face"" for MWSE"
118379000000.0,451986852.0,7/26/2023 12:04,7/26/2023 12:08,207.73.66.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118379000000.0,451986852.0,7/26/2023 8:56,7/26/2023 10:17,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"Not necessarily due to the director, but there is a general feeling here that our location in Washtenaw is seen as the 'trouble' location. I personally feel like this location has been ignored, comparatively, and a facility upgrade and update on the compensation is overdue. I know and see how hard people work here and we all do well beyond our duties and get recognized for ""30%"" of what we accomplish, which I understand is kind of the nature of the work. There are too few employees in most departments and there's no attempt at any sort of customer system intake process atomization, so the front desk associates are also doing more than they should and still would have more than enough to do without their current phone answering and intake responsibilities being automated. If the automation system could do the basic screenings and intake/document  collecting; career advisors would be free to career advise."
118379000000.0,451986852.0,7/26/2023 9:15,7/26/2023 9:19,207.73.66.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118379000000.0,451986852.0,7/26/2023 9:07,7/26/2023 9:10,207.74.181.58,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118379000000.0,451986852.0,7/26/2023 9:03,7/26/2023 9:08,68.49.97.139,,,,,Staff Toward Executive Director,Do you have any additional feedback?,questionnaire is a little long.
118379000000.0,451986852.0,7/26/2023 9:02,7/26/2023 9:08,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118379000000.0,451986852.0,7/26/2023 8:57,7/26/2023 9:02,207.74.181.58,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118379000000.0,451986852.0,7/26/2023 8:57,7/26/2023 9:00,198.109.195.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118378000000.0,451986852.0,7/25/2023 8:40,7/25/2023 8:58,198.108.155.98,,,,,Staff Toward Executive Director,Do you have any additional feedback?,"Questions answered with N/A don't really seem apply to entry level staff - ie csr, ca's, feed back from customers seems to be serious and no defense for the staff that have direct dealing w/the situations. Don't really see Director too often outside of all staff meetings. He has a lot of responsibilities and doing a good job. Goals seem to be demanded and not really talked about how and why maybe easier for some and harder for others, what about additional support."
118377000000.0,451986852.0,7/24/2023 16:15,7/24/2023 16:19,198.109.180.114,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118377000000.0,451986852.0,7/24/2023 10:11,7/24/2023 10:15,198.109.195.34,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
118377000000.0,451986852.0,7/24/2023 8:34,7/24/2023 8:38,207.74.181.58,,,,,Staff Toward Executive Director,Do you have any additional feedback?,0
